name,context,scenario,image,questions/0,questions/1,tags/0,tags/1
Botte verbeteringen,We gebruiken AI om onze communicatie te verbeteren. Nu zeggen ontvangers dat onze berichten te algemeen en niet persoonlijk genoeg zijn.,De Redacteur,botte-verbeteringen,Hoe houden we berichten persoonlijk wanneer we gebruik maken van AI?,Wat hebben we nodig om onze communicatie voldoende authentiek te maken?,#Creativiteit,#Authenticiteit
Redactie- robots,Een AI-tool redigeert onze teksten. Dit verandert de manier waarop we schrijven en bespaart veel tijd. Hierdoor zijn sommige collega’s onzeker over hun toegevoegde waarde.,De Redacteur,redactie-robots,Hoe verandert ons werk nu AI een deel van onze taken overneemt?,Welke nieuwe kennis en vaardigheden hebben we nodig om goed met AI-tekstverwerkers te werken?,#Aanpassingsvermogen,#Waardigheid
Authentieke interactie,We gebruiken AI om met burgers en bedrijven te communiceren. Ontvangers vragen zich af of die berichten wel authentiek zijn.,De Schrijver,authentieke-interactie,Hoe open en transparant moeten we zijn over AI-gebruik?,Hoe beïnvloedt AI-gebruik het vertrouwen van het publiek in onze organisatie?,#Integriteit,#Transparantie
De symbiose,"Naarmate we AI steeds meer voor ons laten doen, verandert onze manier van leren en het ontwikkelen van onze vaardigheden.",De Schrijver,de-symbiose,Kunnen we AI gebruiken op een manier die zowel efficiëntie als persoonlijke groei bevordert?,Hoe maken we gebruik van de sterke punten van AI en blijven we onze eigen vaardigheden verbeteren?,#Samenwerking,#Professionaliteit
De taalpolitie,We maken gebruik van een AI-tool om onze schrijfstijl aan te passen aan diverse doelgroepen. Dit leidt soms tot verwarring over de neutraliteit en consistentie van onze berichten.,De Redacteur,de-taalpolitie,Hoe houden we onze berichten neutraal en consistent voor verschillende doelgroepen?,Moeten we bepaalde richtlijnen hanteren voor het aanpassen van de schrijfstijl?,#Onafhankelijkheid,#Toegankelijkheid
Kopzorgen over kopij,De AI-tool die we gebruiken kopieert soms teksten van andere auteurs zonder bronvermelding.,De Schrijver,kopzorgen-over-kopij,Hoe gaan we om met auteursrechten en AI-gegenereerde content?,Hoe zorgen we voor originele content met juiste verwijzingen?,#Authenticiteit,#Integriteit
Recht van spreken,"Met AI schrijven we een belangrijk stuk, maar uit feedback blijkt dat er onbedoelde vooroordelen in zitten.",De Schrijver,recht-van-spreken,Hoe voorkomen we onbedoelde vooroordelen in AI-content?,Hoe zorgen we ervoor dat mensen en onderwerpen gelijk gerepresenteerd worden in AI-content?,#Eerlijkheid,#Inclusiviteit
Creatieve crisis,AI neemt steeds meer van ons (schrijf)werk over. Sommigen ervaren dit als belemmering voor hun creativiteit.,De Schrijver,creatieve-crisis,Hoe kunnen we onze eigen creativiteit stimuleren terwijl we steeds meer AI gebruiken voor (schrijf)werk?,Hoe zorgen we dat AI een hulpmiddel blijft en niet een doel op zich wordt?,#Creativiteit,#Autonomie
Het doorgeefluik,Sommige collega's plaatsen gevoelige documenten in een AI-tool van een partij waarmee we geen overeenkomst hebben. Daardoor komt onze informatie bij derden terecht.,De Leeshulp,het-doorgeefluik,Hoe verminderen we het risico op datalekken?,Weten we welke informatie we wel en niet in AI-tools kunnen zetten?,#Privacy,#Veiligheid
De ratrace,"We gebruiken AI-tools om documenten samen te vatten, zodat we sneller kunnen werken. Sommige collega's vinden het tempo te hoog en voelen zich onder druk gezet.",De Leeshulp,de-ratrace,Hoe bespreken we de verwachtingen over het wel/niet gebruik maken van AI?,Hoe kunnen we ervoor zorgen dat er geen grote verschillen ontstaan tussen collega's bij het werken met AI?,#Aanpassingsvermogen,#Vitaliteit
Samengevat vertrouwen,"We vertrouwen op AI voor samenvattingen en antwoorden, maar missen belangrijke details.",De Leeshulp,samengevat-vertrouwen,Hoe zorgen we ervoor dat AI-gegenereerde samenvattingen nauwkeurig genoeg zijn?,Welke controles op AI-samenvattingen en antwoorden moeten blijven bestaan?,#Betrouwbaarheid,#Verantwoordelijkheid
Een splijtzwam in ons midden,"Collega's brainstormen steeds vaker met AI, waardoor er onderling minder kennis en ervaring wordt gedeeld.",Het Orakel,een-splijtzwam-in-ons-midden,Hoe stimuleren we kennisdeling en samenwerking met AI-tools?,Wat kan de samenwerking en kennisdeling tussen verschillende collega's verbeteren?,#Samenwerking,#Inclusiviteit
De luiwammes,"De AI-tool geeft oppervlakkige antwoorden, waardoor we belangrijke context missen.",Het Orakel,de-luiwammes,Hoe zorgen we ervoor dat we voldoende begrip voor de context en complexiteit van problemen blijven houden?,Hoe verbeteren we het kritisch denken van zowel de AI-tool als onszelf?,#Professionaliteit,#Onafhankelijkheid
Fantastische content,Een AI-tool maakt fouten die kunnen leiden tot verkeerde conclusies of beslissingen. Blind vertrouwen op de technologie is riskant.,Het Orakel,fantastische-content,Hoe blijven we de uitkomsten van AI controleren?,"Hoe zien we de verhouding tussen menselijke expertise, brononderzoek en AI?",#Betrouwbaarheid,#Validiteit
Allemaal snellezers,Met behulp van AI vergaren we meer informatie dan voorheen. We vergeten echter vaak de context van deze informatie. Onze analyses missen daardoor diepgang.,De Leeshulp,allemaal-snellezers,Hoe houden we een goed evenwicht tussen hoeveelheid en kwaliteit in het werken met AI?,Hoe zorgen we voor voldoende begrip en diepgang als we werken met AI?,#Betrouwbaarheid,#Validiteit
